rank,description,company_name,state,industry,country,revenue,profits,assets,market_value,profits_rank,assets_rank,market_value_rank,employees,revenue_rank,ceo_name,ceo_title,city,year_founded,web_site
996,"ZTE Corp. engages in the design, development, manufacture, and sale of information and telecommunication technology products. It operates through the following segments: Carriers' Network, Consumer Business, and Government and Corporate Business. The Carriers' Network segment focuses on meeting carries' requirements in network evolution with the provision of wireless access, wireline access, bearer systems, core networks, telecommunication software systems and services, and other innovative technologies and product solutions. The Consumer Business segment is involved in the production and sale of products such as smart phones, mobile data terminals, family terminals, innovative fusion terminals, related software application, and value-added services. The Government and Corporate Business segment offers informatization solutions for the government and corporations through the application of products such as communications networks, IOT, Big Data, and cloud computing. The company was founded by Wei Gui Hou on February 7, 1985 and is headquartered in Shenzhen, China.",ZTE,,"Telecommunications Services, Cable Supplier",China,19141,628.2,32675,15407,1601,1136,1377,65095,729,Zi Yang Xu,Chief Executive Officer,Shenzhen,1985,http://www.zte.com.cn
997,"HF Sinclair Corp. is an independent energy company. It manufactures and sells products such as gasoline, diesel fuel, jet fuel, renewable diesel, specialty lubricant products, specialty chemicals, and specialty and modified asphalt. The company operates through five segments: Refining, Marketing, Renewables, Lubricants and Specialty Products, and Midstream. The company was founded in 1947 and is headquartered in Dallas, TX.",HF Sinclair,Texas,Oil & Gas Operations,United States,27622,1220,18172,12621,938,1763,1652,5165,494,Franklin Myers,Chief Executive Officer,Dallas,1947,http://www.hollyfrontier.com
998,"Atmos Energy Corp. engages in the provision of natural gas services. It operates through the Distribution and Pipeline and Storage segments. The Distribution segment is involved in regulated natural gas distribution and related sales operations. The Pipeline and Storage segment includes pipeline and storage operations of the Atmos Pipeline-Texas division and natural gas transmission operations. The company was founded in 1983 and is headquartered in Dallas, TX.",Atmos Energy,Texas,Oil & Gas Operations,United States,4881,1345.7,30380,29458,860,1202,785,5487,,John Kevin Akers,Chief Executive Officer,Dallas,1983,http://www.atmosenergy.com
999,"Crown Castle, Inc. engages in the business of owning, operating, and leasing shared communications infrastructure. It operates through the following segments: Towers, Fiber, and Other. The Towers segment focuses on providing coverage and capacity for wireless carrier network deployments. The Fiber segment includes communications infrastructure offerings of small cells and fiber solutions. The Other segment is involved in corporate assets such as cash and cash equivalents. The company was founded by Ted B. Miller Jr. and Edward C. Hutcheson Jr. in 1994 and is headquartered in Houston, TX.",Crown Castle International,Texas,Diversified Financials,United States,4214,1059,31391,37823,1066,1167,621,4000,,Christian H. Hillabrant,Chief Executive Officer,Houston,1994,http://www.crowncastle.com
1000,"Greenland Holdings Corp. Ltd. engages in the development, sale and leasing of real estates, infrastructure, finance & energy consumption. It also offers second-hand housing agency, financial services, leasing of industrial parks, commercial & hotel operation, metro investment industry and entrusted construction management services. The Company was founded on July 8, 1992 and is headquartered in Shanghai, China.",Greenland Holdings Group,,Construction,China,24304,-3626.9,152029,3098,,291,,35878,566,Jing Geng,Chief Executive Officer,Shanghai,,http://www.ldjt.com.cn
1001,"Dollar Tree, Inc. owns and operates discount variety stores offering merchandise at fixed prices. It operates through the Dollar Tree business segment. The Dollar Tree segment includes operations under Dollar Tree and Dollar Tree Canada brands, with its distribution centers in the United States and Canada. The company was founded by J. Douglas Perry and Macon F. Brock, Jr. in 1953 and is headquartered in Chesapeake, VA.",Dollar Tree,Virginia,Retailing,United States,19412,1282.5,13466,17443,890,,1250,153032,721,Michael C. Creedon,Chief Executive Officer,Chesapeake,1986,http://www.dollartree.com
1002,"Thomson Reuters Corp. engages in the provision of news and information for professional markets. It operates through the following segments: Legal Professionals, Corporates, Tax and Accounting Professionals, Reuters News, and Global Print. The Legal Professionals segment provides research and workflow products to law firms and government. The Corporates segment serves corporate customers with full suite of content-enabled technology solutions for in-house legal, tax, regulatory, compliance, and information technology professionals. The Tax and Accounting Professionals segment offers research and workflow products focusing on intuitive tax offerings and automating tax workflows to tax, accounting, and audit professional in accounting firms. The Reuters News segment supplies business, financial, national, and international news to professionals via desktop terminals. The Global Print segment offers legal and tax information primarily in print format to customers around the world. The company was founded in 1799 and is headquartered in Toronto, Canada.",Thomson Reuters,,IT Software & Services,Canada,7662,1525.6,17944,36717,773,1783,636,27100,1674,Steve Hasker,Chief Executive Officer,Toronto,2008,http://www.thomsonreuters.com
1003,"Unibail-Rodamco-Westfield SE engages in the development and operation of flagship destinations. It operates through the following business segments: Shopping Centres, Offices and Others, and Convention and Exhibition. The Shopping Centres segment operates and leases shopping centers. The Offices and Others segment develops and owns office buildings and hotels. The Convention and Exhibition segment includes real estate venues rental and services company. The company was founded on July 23, 1968 and is headquartered in Paris, France.",Unibail-Rodamco-Westfield,,Diversified Financials,France,3452,1431.3,58351,15949,819,711,1343,1992,,Vincent Rouget,Chief Executive Officer,Paris,2018,http://www.urw.com
1004,"Euronext NV engages in the operation of equity, fixed income securities, and derivatives markets in Amsterdam, Brussels, Dublin, Lisbon, London, Oslo, and Paris. Its businesses include listing, cash trading, derivatives trading, FX spot trading, market data and indices, clearing, and market solutions and other. The company was founded on July 20, 2000 and is headquartered in Amsterdam, the Netherlands.",Euronext,,Diversified Financials,Netherlands,2053,725.5,384785,16395,1444,130,1302,3105,,Stéphane Boujnah,Chief Executive Officer,Amsterdam,2014,
1005,"Zhejiang Huayou Cobalt Co., Ltd. engages in the production and sale of battery materials and new cobalt materials. It produces cathode materials, cobalt, copper, nickel products, nickel cobalt manganese hydroxide, and lithium products. The company was founded by Xue Hua Chen and Wei Tong Xie on May 22, 2002 and is headquartered in Jiaxing, China.",Zhejiang Huayou Cobalt,,Materials,China,12527,1035.6,25284,16348,1089,1355,1314,26466,1120,Hong Liang Chen,Chief Executive Officer,Jiaxing,2002,http://www.huayou.com
1006,"Rocket Cos., Inc. engages in the provision of a suite of services related to homeownership and other personal financial transactions. It operates through the following segments: Direct to Consumer and Partner Network. The Direct to Consumer segment consists of performance marketing and direct engagement through the Rocket Mortgage App. The Partner Network Segment focuses on partnerships with premier consumer-focused organizations, brokers and mortgage professionals who leverage the platform and scale to provide mortgage solutions to clients. The company was founded by Daniel Gilbert in 1985 and is headquartered in Detroit, MI.",Rocket Companies,Michigan,Business Services & Supplies,United States,8331,239.4,59439,37645,,701,623,23500,1563,Varun Krishna,Chief Executive Officer,Detroit,1985,http://www.rocketcompanies.com
1007,"American Airlines Group, Inc. is a holding company, which engages in the operation of a network carrier through its principal wholly owned mainline operating subsidiary, American. The firm offers air transportation for passengers and cargo. It operates through the following geographical segments: Domestic, Latin America, Atlantic, and Pacific. The company was founded on December 9, 2013, and is headquartered in Fort Worth, TX.",American Airlines Group,Texas,Transportation,United States,55994,202,63738,8142,,662,,139100,226,Robert D. Isom,Chief Executive Officer,Fort Worth,2013,http://www.aa.com
1008,"Attijariwafa Bank engages in the provision of international commercial banking services. It operates through the following business areas: Domestic Banking, Europe and Offshore; Specialised Financial Subsidiaries; International Retail Banking; and Insurance and Property. The Domestic Banking, Europe and Offshore business area includes Attijariwafa Bank SA, Attijariwafa Bank Europe, Attijari International Bank and investment holding companies. The Specialised Financial Subsidiaries business area consists of Moroccan subsidiaries undertaking consumer finance, mortgage loan, leasing, factoring and money transfer activities. The International Retail Banking comprises Attijari Bank Tunisie and the banks of the Sub-Saharan area. The Insurance and Property covers Wafa Assurance. The company was founded in 1911 and is headquartered in Casablanca, Morocco.",Attijariwafa Bank,,Banking,Morocco,5104,1139,87222,14966,989,494,1410,,,Mohamed El Kettani,Chief Executive Officer,Casablanca,1911,http://www.attijariwafabank.com
1009,"Carlsberg A/S engages in the production and marketing of beer, craft and specialty, and non-alcoholic beer. Its products include Carlsberg, Tuborg Green, 1664 Blanc, Baltika, and Somersby Apple Cider. It operates through the following geographical segments: Western Europe, Asia, and Central and Eastern Europe. The company was founded by Jacob Christian Jacobsen in 1847 and is headquartered in Copenhagen, Denmark.",Carlsberg,,"Food, Drink & Tobacco",Denmark,13473,930.9,24208,17084,1177,1409,1269,36998,1046,Jacob Aarup-Andersen,Chief Executive Officer,Copenhagen,1847,http://www.carlsberggroup.com
1010,"Fastenal Co. engages in the distribution of fasteners and tools. It also operates hardware stores. The company was founded by Robert A. Kierlin, Michael M. Gostomski, Henry K. McConnon, John D. Remick, and Stephen M. Slaggie in November 1967 and is headquartered in Winona, MN.",Fastenal,Minnesota,Trading Companies,United States,8443,1299.7,5210,49664,880,,479,24489,1548,Daniel Lars Florness,Chief Executive Officer,Winona,1967,http://www.fastenal.com
1011,"Kaspi.kz JSC provides a mobile app. The firm operates through the following segments: Payments Platform, Marketplace Platform and Fintech Platform. The Payments Platform segment consists of both consumers and merchants, to facilitate cashless, digital transactions. The Marketplace platform segment connects merchants and consumers enabling merchants to increase their sales and consumers to buy a broad selection of products and services offered by a variety of merchants. The Fintech Platform segment enables customers to manage their personal finances online and access consumer finance and deposit products primarily through the Kaspi.kz Super App. The company was founded by Mikheil Nugzarovich Lomtadze and Vyacheslav Konstantinovich Kim on October 16, 2008 and is headquartered in Almaty, Kazakhstan.",Kaspi.kz JSC,,Business Services & Supplies,Kazakhstan,8309,2066.3,23258,16337,582,1451,1316,,1565,Mikhail Lomtadze,Chief Executive Officer,Almaty,2008,
1011,"LATAM Airlines Group SA is holding company, which engages in the provision of passenger air transportation and cargo services. It operates through Air Transport segment. The Air Transportation segment corresponds to the route network for air transport and is based on the way in which the business is managed, according to the centralized nature of its operations. The company was founded in 1929 and is headquartered in Las Condes, Chile.",Latam Airlines,,Transportation,Chile,14966,1668.2,18709,13670,712,1730,1523,41125,949,Roberto Alvo Milosawlewitsch,Chief Executive Officer,Las Condes,1929,http://www.latamairlinesgroup.net
1011,"Sumitomo Metal Mining Co., Ltd. engages in the mining business. It operates through the following segments: Mineral Resources, Smelting and Refining, Materials, and Others. The Mineral Resources segment includes the exploration, development and production of non-ferrous metal resources as well as the sale of ores and other products. The Smelting and Refining segment sells copper, nickel, ferro-nickel, zinc, lead, and precious metals such as gold, silver, and platinum. The Materials segment manufactures and sells lead frames, tape materials, bonding wires, and advanced materials. The Others segment includes real estate and technical engineering. The company was founded by Riemon Soga in 1590 and is headquartered in Tokyo, Japan.",Sumitomo Metal Mining,,Materials,Japan,11557,1169.9,22371,17528,969,1494,1247,,1204,Nobumasa Kemori,CEO,Tokyo,1950,http://www.smm.co.jp
1014,"Jerónimo Martins SGPS SA engages in the production, distribution, and sale of food and other fast moving consumer goods product. It operates through the following segments: Portugal Retail, Portugal Cash and Carry, Poland Retail, Colombia Retail, and Others. The Portugal Retail segment covers the unit of JMR Pingo Doce supermarkets. The Portugal Cash & Carry segment focuses on Recheio. The Poland Retail segment involves the operation under Biedronka banner. The Colombia Retail segment includes operation under Ara banner. The Others segment involves business units with reduced materiality, the holding companies, and the consolidated adjustments of the group. The company was founded by Jerónimo Martins in 1792 and is headquartered in Lisbon, Portugal.",Jeronimo Martins,,Food Markets,Portugal,42315,740.4,20034,13474,1415,1647,1547,147709,313,Pedro Manuel de Castro Soares dos Santos,Chief Executive Officer,Lisbon,1792,http://www.jeronimomartins.pt
1015,"AGNC Investment Corp. engages in the operation of a real estate investment trust. The firm invests in residential mortgage pass-through securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States government-sponsored enterprise or by the United States government agency. It also invests in other types of mortgage and mortgage-related securities, such as credit risk transfer securities and non-Agency residential and commercial mortgage-backed securities, where repayment of principal and interest is not guaranteed by the United States government-sponsored enterprise or by the United States Government agency, and other assets related to the housing, mortgage, or real estate markets. The company was founded on January 7, 2008 and is headquartered in Bethesda, MD.",AGNC Investment,Maryland,Diversified Financials,United States,3817,1472,118897,11870,802,380,1741,54,,Peter J. Federico,Chief Executive Officer,Bethesda,2008,http://www.agnc.com
1016,"STMicroelectronics NV is a global semiconductor company, which engages in the business of designing, developing, manufacturing, and marketing products used in a wide variety of applications for automotive, industrial, personal electronics and communications equipment, computers, and peripherals. It operates through the following segments: Automotive and Discrete Group (ADG), Analog, MEMS, and Sensors Group (AMS), Microcontrollers and Digital ICs Group (MDG), and Others. The ADG segment includes dedicated automotive integrated circuits and discrete and power transistor products. The AMS segment offers analog, smart power, MEMS sensors and actuators, and optical sensing solutions. The MDG segment focuses on general-purpose microcontrollers and microprocessors, connected security products, memories, and RF and communications products. The Others segment is involved in sales assembly services and other revenues. The company was founded in June 1987 and is headquartered in Plan-Les-Ouates, Switzerland.",STMicroelectronics,,Semiconductors,Switzerland,12367,142.6,25130,54629,,1365,427,49157,1132,Jean-Marc Chéry,Chief Executive Officer,Plan-Les-Ouates,1987,http://www.st.com/content/st_com/en.html
1017,"International Paper Co. engages in the business of producing renewable fiber-based packaging and pulp products. It operates through the following segments: Industrial Packaging, Global Cellulose Fibers, and Corporate and Intersegment. The Industrial Packaging segment is involved in the production of fiber-based packaging that protects and promotes goods, enables worldwide commerce, and helps keep consumers safe. The Global Cellulose Fibers segment offers a wide range of applications like diapers, towel and tissue products, feminine care, incontinence, and other personal care products that promote health and wellness. The company was founded by Hugh J. Chisholm in 1898 and is headquartered in Memphis, TN.",International Paper,Tennessee,Materials,United States,24966,-3335,36434,16023,,1047,1336,62602,544,Andrew K. Silvernail,Chief Executive Officer,Memphis,1898,http://www.internationalpaper.com
1018,"Norsk Hydro ASA engages in producing and supplying alumina and primary aluminum. It operates through the following segments: Hydro Bauxite and Alumina, Hydro Aluminium Metal, Hydro Extrusions, Hydro Energy, Hydro Metal Markets, and Other. The Hydro Bauxite and Alumina segment includes bauxite mining activities, production of alumina, and related commercial activities, primarily the sale of alumina. The Hydro Aluminium Metal segment focuses on primary aluminium production and casting activities. The Hydro Extrusions segment delivers products within extrusion profiles, building systems and precision tubing, and is operating several recycling facilities, both integrated with its extrusion plants and separate plants. The Hydro Energy refers to operating and commercial responsibility for Hydro's power stations in Norway, a trading and wholesale business in Brazil, and energy sourcing for Hydro’s world-wide operations. The Hydro Metal Markets is involved in all sales activities relating to products from primary metal plants and operational responsibility for stand-alone recyclers as well as physical and financial metal trading activities. The company was founded on December 2, 1905 and is headquartered in Oslo, Norway.",Norsk Hydro,,Materials,Norway,19760,608.5,21243,22332,1640,1574,1006,31618,709,Eivind Kallevik,Chief Executive Officer,Oslo,1905,http://www.hydro.com
1019,"Coinbase Global, Inc. engages in the provision of a trusted platform that serves as a compliant on-ramp to the onchain economy and enables users to engage in a wide variety of activities with their crypto assets in both proprietary and third-party product experiences enabled by access to decentralized applications. It offers consumers primary financial account for the cryptoeconomy, institutions a full-service prime brokerage platform with access to deep pools of liquidity across the crypto marketplace, and developers a suite of products granting access to build onchain. The company was founded by Brian Armstrong and Fred Ernest Ehrsam in May 2012 and is headquartered in New York, NY.",Coinbase,New York,Diversified Financials,United States,6621,800.6,28849,51608,1335,1252,452,4951,1894,Brian Armstrong,Chief Executive Officer,New York,2012,http://www.coinbase.com
1020,"Haci Ömer Sabanci Holding AS operates as an industrial and financial conglomerate. It operates through the following segments: Banking, Industry, Financial Services, Energy, Building Materials, Digital, and Others. The company was founded by Sadika Sabanci, Ihsan Sabanci, Sakip Sabanci, Haci Mehmet Sabanci, Sevket Sabanci, Erol Sabanci, Özdemir Sabanci, Abdullah Aktan, Kazim Köseoglu, Ahmet Civelek, Yilmaz Civelek, Ahmet Yakup Sabanci, Ali Aksoy, Ikbal Aksoy, Haci Sabanci, and Yalçin Sabanci on April 17, 1967 and is headquartered in Istanbul, Turkey.",Sabanci Holding,,Banking,Turkey,28801,177.2,95202,4272,,464,,62692,469,Kivanc Zaimler,Chief Executive Officer,Istanbul,1967,http://www.sabanci.com
1021,"Country Garden Holdings Co. Ltd. engages in the real estate business. It operates through the following segments: Property Development; Construction; Property Investment; Property Management; and Hotel Operation. The company was founded by Kwok Keung Yeung in 1992 and is headquartered in Foshan, China.",Country Garden Holdings,,Construction,China,21559,508.4,116214,1583,1892,391,,14069,653,Yong Hong Mei,Chief Executive Officer,Foshan,1992,http://en.bgy.com.cn
1022,"Garmin Ltd. is a holding company, which engages in the provision of navigation, communications and information devices, most of which are enabled by Global Positioning System (GPS) technology. It operates through the following segments: Marine, Outdoor, Fitness, Auto OEM, Consumer Auto, and Aviation. The Marine segment manufactures and offers recreational marine electronics such as cartography, Sounders, Radar, Autopilot Systems and Sailing. The Outdoor segment offers products designed for use in outdoor activities such as Outdoor Handhelds, Adventure Watches, Golf Devices, Dog Tracking & Training Device, Garmin Connect & Garmin Connect Mobile, and Connect IQ. The Fitness segment refers to the products designed for use in fitness and activity tracking such as Running & Multi-Sport Watches, Cycling Computers, Power Meters, Safety & Awareness, and Activity Tracking Devices. The Auto OEM and Consumer Auto segments offer products designed for use in the auto market such as Personal Navigation Devices, Original Equipment Manufacturer (OEM) Solutions, and Cameras. The Aviation segment provides solutions to aircraft manufacturers, existing aircraft owners and operators, as well as government/defense customers. The company was founded in 1989 and is headquartered in Schaffhausen, Switzerland.",Garmin,,Technology Hardware & Equipment,Switzerland,7464,1736.2,10952,43537,690,,538,23000,1713,Clifton Albert Pemble,Chief Executive Officer,Schaffhausen,1989,http://www.garmin.com
1023,"Banque Saudi Fransi engages in the provision of commercial banking services and financial solutions. It operates through the following segments: Retail Banking, Corporate Banking, Treasury, and Investment Banking and Brokerage. The Retail Banking segment incorporates private and small establishment customers' demand accounts, overdrafts, loans, saving accounts, deposits, credit and debit cards, consumer loans, and certain foreign exchange products. The Corporate Banking segment consolidates corporate and medium customer's demand accounts, deposits, overdrafts, loans, and other credit facilities and derivative products. The Treasury segment integrates treasury services, trading activities, investment securities, money market, bank's funding operations, and derivative products. The Investment Banking & Brokerage segment includes investment management services and asset management activities. The company was founded on June 4, 1977 and is headquartered in Riyadh, Saudi Arabia.",Banque Saudi Fransi,,Banking,Saudi Arabia,5424,1438.6,86556,12802,814,500,1631,3732,,Bader Al Salloom,Chief Executive Officer,Riyadh,1977,http://www.alfransi.com.sa
1024,"Subaru Corp. engages in the manufacture and sale of automobiles, aircraft, engine parts, and industrial machines. It operates through the following segments: Automobile, Aerospace, and Others. The Automobile segment produces, repair, and sells passenger cars and automobile parts. The Aerospace segment manufactures, supplies, and repair airplanes, and aerospace-related machineries and components. The Others segment develops, leases, and sells real estate properties. The company was founded in May 1917 and is headquartered in Tokyo, Japan.",Subaru Corporation,,Consumer Durables,Japan,31753,602.8,34523,11582,1654,1092,1785,,417,Atsushi Osaki,Chief Executive Officer,Tokyo,1953,http://www.subaru.co.jp
1025,"Yara International ASA engages in the production, distribution, and sale of fertilizers. It operates through the following segments: Europe, Americas, Africa and Asia, Global Plants and Operational Excellence, Clean Ammonia, and Industrial Solutions. The Europe segment comprises sales, marketing and production within Europe. The Americas segment includes sales, marketing and production within the regional business units of North America, Latin America and Brazil. The Africa and Asia segment focuses on the sales, marketing, distribution and production of fertilizers and industrial products across the Asia-Pacific, Africa and Oceania regions. The Global Plants and Operational Excellence segment operates Yara’s largest, and export oriented, production plants in Porsgrunn and in Sluiskil. The Clean Ammonia segment contains Yara’s ammonia sales and logistics activity that plays a vital role in Yara’s production system. The Industrial Solutions segment provides nitrogen-based solutions and services across a wide range of industries including automotive, construction, waste handling and circular economy, shipping, chemicals, mining and animal feed. The Company was founded in 1905 and is headquartered in Oslo, Norway.",Yara International,,Chemicals,Norway,16210,1401.8,17808,14600,832,1798,1444,15702,875,Svein Tore Holsether,Chief Executive Officer,Oslo,2003,http://www.yara.com
1026,"Labcorp Holdings, Inc. provides laboratory services to help doctors, hospitals, pharmaceutical companies, researchers, and patients make clear and confident decisions. It operates through the Diagnostics Laboratories (Dx) and Biopharma Laboratory Services (BLS) segments. The Dx segment includes routine and specialty esoteric testing. The BLS segment consists of central laboratory and ED businesses. The company was founded in 1995 and is headquartered in Burlington, NC.",Labcorp Holdings,North Carolina,Health Care Equipment & Services,United States,14144,941.5,19087,20533,1165,1704,1080,71000,1001,Adam H. Schechter,Chief Executive Officer,Burlington,1971,http://www.labcorp.com
1027,"DB Insurance Co., Ltd. engages in the business of providing non-life insurance services. It operates through the following businesses: Insurance, Loan, and Other Services. The Insurance business offers long-term and individual annuities, auto, special, fire, and marine insurance. The Loan business provides contract loans, customer credit loans for insurance, and house equity loans. The Other Services business offers promy health keeping, care givers and funeral affiliates, car care services, emergency and on-site dispatch, auto care, inspection, and registry agency reservation services. The company was founded on November 1, 1968 and is headquartered in Seoul, South Korea.",Db Insurance,,Insurance,South Korea,12604,1104.9,48724,6644,1017,833,,4716,1112,Jong-Pyo Jeong,Chief Executive Officer,Seoul,1968,http://www.idbins.com
1027,"KGHM Polska Miedz SA engages in the exploration of copper, precious metals, and other smelter products. It manages a diversified portfolio of mining assets and smelters, supporting global supply through efficient production processes and advanced technologies. The company was founded in 1949 and is headquartered in Lubin, Poland.",KGHM Polska Miedz,,Materials,Poland,10829,1878.4,17021,18424,631,1849,1203,34421,1280,Remigiusz Paszkiewicz,Chief Executive Officer,Lubin,1961,http://www.kghm.com
1029,"SM Investments Corp. operates as a holding company. It is engaged in financial services, retail, banking and properties in the Philippines. The firm operates through the following segments: Property, Retail and Banking & Others. The Property segment is involved in mall, residential and commercial development, hotels and convention centers operations. The Retail segment is engaged in the retail and wholesale trading of merchandise, such as dry goods, wearing apparels, food and other merchandise. The Banking & Others segment engages in asset management and capital investments. The company was founded by Henry Sy, Sr. on January 15, 1960 and is headquartered in Pasay, Philippines.",SM Investments,,Retailing,Philippines,10984,1591.7,30071,11826,743,1209,1752,142000,1262,Frederic Cuyegkeng DyBuncio,Chief Executive Officer,Pasay,1960,http://www.sminvestments.com
1030,"Vietnam Joint Stock Commercial Bank for Industry & Trade is a joint stock commercial bank, which engages in the business of providing banking services including mobilizing and receiving short, medium, and long-term deposits from organizations and individuals; offering loans and advances; conducting foreign exchange transactions and international trade finance services; and discounting commercial papers, bonds, and other valuable papers. It operates through the following geographical segments: North, South, Others, and Offset. The company was founded on March 26, 1988 and is headquartered in Ha Noi, Vietnam.",Vietin Bank,,Banking,Vietnam,6917,1454.7,111006,10550,807,410,1929,24583,1823,Binh Minh Tran,Chief Executive Officer,Ha Noi,1988,http://www.vietinbank.vn/web/home/vn/index.html
1031,"China Galaxy Securities Co., Ltd. engages in the provision of financial services. It operates through the following segments: Securities Brokerage, Futures Brokerage, Proprietary Trading and Other Securities Trading Services, Investment Banking; Asset Management; Private Equity Investment; Overseas Business, and Others. The Securities Brokerage segment offers margin financing, securities lending, and securities dealing and broking. The Futures Brokerage segment provides futures dealing, broking, consulting, and training. The Proprietary Trading and Other Securities Trading Services segment includes bonds, funds, derivatives, and equity trading. The Investment Banking segment provides financial advisory services and underwriting of debt securities and equities. The Asset Management segment deals with investment advisory, transaction execution, and portfolio management services. The Private Equity Investment segment engages in direct equity investments. The Overseas Business segment includes operations in securities brokerage, futures brokerage, securities research, investment banking, margin financing, money lending, asset management, and insurance brokerage. The Others segments pertains to the firm's investment holding and administrative activities. The company was founded on January 26, 2007 and is headquartered in Beijing, China.",China Galaxy Securities,,Diversified Financials,China,5304,1570.4,122457,11158,751,370,1850,14259,,Liang Chen,Chairman,Beijing,2007,http://www.chinastock.com.cn
1032,"Hexagon AB engages in the provision of sensor, software, and autonomous solutions. It operates through the Industrial Enterprise Solutions (IES) and Geospatial Enterprise Solutions (GES) segments. The IES segment consists of metrology systems that incorporate the latest in sensor technology for fast and accurate measurements, as well as CAD and CAM software. The GES segment focuses on sensors for capturing data from land and air as well as sensors for positioning via satellites. The company was founded on August 29, 1975 and is headquartered in Stockholm, Sweden.",Hexagon,,Technology Hardware & Equipment,Sweden,5877,2318.6,20730,27258,525,1610,842,23498,,Anders Svensson,Chief Executive Officer,Stockholm,1992,http://hexagon.com
1033,"Banco de Crédito e Inversiones SA engages in the provision of commercial banking services. It operates through the following divisions: Retail Banking, Wholesale and Investment Banking, Finance, Corporate and International Development, Lider Bci Servicios Financieros, and MACH. The Retail Banking division includes individuals; and small and medium enterprises such as entrepreneurs, enterprising, and microenterprises entities. The Wholesale and Investment Banking comprises of wholesale banks, corporate, and private, providing comprehensive solutions and competitive, differentiated value proposals, focused on the business success of its customers. The Finance division provides consulting, risk hedging, and investment services. The Corporate and International Development division is responsible for overseeing business and operations in the United States through City National Bank of Florida (CNB), which operates as an independent unit. The Lider Bci Servicios Financieros division manages the business associated with the issuance and operation of the Bci Leader Mastercard and Presto credit cards, the origination of cash advances and super-advances, and personal insurance brokerage. The MACH division leverages firm's digitization and complements the customer base with new segments, developing innovations to address needs that are not met by traditional banking. The company was founded by Juan Yarur Lolas on June 10, 1937 and is headquartered in Santiago, Chile.",BCI-Banco Credito,,Banking,Chile,5705,1084.1,91734,14302,1038,478,1467,,,Eugenio von Chrismar Carvajal,Chief Executive Officer,Santiago,1937,http://www.bci.cl
1034,"Leidos Holdings, Inc. engages in providing services and solutions in the defense, intelligence, civil and health markets. It operates through the following three segments: Defense Solutions, Civil, and Health. The Defense Solutions segment provides services, solutions, and products focusing on digital modernization, mission systems and integration, command, control, computers, communications, intelligence, surveillance and reconnaissance technologies and services, maritime solutions, transformative software, analytics, intelligence analysis, mission support and logistics services, weapons systems and space systems and solutions. The Civil segment focuses on modernizing infrastructure, systems, and security. The Health segment offers solutions to federal and commercial customers that are responsible for the health and wellbeing of people worldwide including service members and veterans. The company was founded by John Robert Beyster on February 3, 1969 and is headquartered in Reston, VA.",Leidos,Virginia,IT Software & Services,United States,17329,1413,15387,15558,826,1985,1364,47000,812,Thomas A. Bell,Chief Executive Officer,Reston,1969,http://www.leidos.com
1035,"Rakuten Group, Inc. engages in the business of Internet services. It operates through the following segments: Internet Services, FinTech, and Mobile. The Internet Services segment manages e-commerce (EC), online cash-back, travel booking, and portal and digital content sites. The FinTech segment provides services over the Internet related to banking and securities, credit cards, life insurance, and electronic money. The Mobile segment manages messaging and communication services and sale of mobile devices. The company was founded by Hiroshi Mikitani on February 7, 1997 and is headquartered in Tokyo, Japan.",Rakuten,,Retailing,Japan,17104,-816.7,184260,10667,,250,1912,29419,826,Hiroshi Mikitani,Chief Executive Officer,Tokyo,1997,http://global.rakuten.com
1036,"Porsche Automobil Holding SE engages in the development, manufacture, and trading of automobiles. It operates through the Core Investments and Portfolio Investments segments. The company was founded on March 1, 1973 and is headquartered in Stuttgart, Germany.",Porsche Automobil Holding,,Consumer Durables,Germany,3367,2991.9,53038,11380,401,775,1813,47,,Hans Dieter Pötsch,Chief Executive Officer,Stuttgart,1930,http://porsche-se.com
1037,"Datang International Power Generation Co., Ltd. engages in power generation and power plant development. It operates through the following segments: Power and Heat Generation, Coal, and Others. The Power and Heat Generation segment offers power production, project construction, and other preliminary works such as coal-fired power, wind power, photovoltaic, and Hydropower capacity expansion project. The Coal segment is involved in mining and sale of coal products. The Other segments primarily include sales of coal ash and aluminum smelting products. The company was founded on December 13, 1994, and is headquartered in Beijing, China.",Datang International Power,,Utilities,China,16639,830.5,47743,7114,1293,855,,27149,845,Yong Pan Liang,Chief Executive Officer,Beijing,1994,http://www.dtpower.com
1037,"Shanghai International Port (Group) Co., Ltd. engages in the operation of all public terminals in the port of Shanghai. Its operations are carried through container terminals, bulk cargo terminal, port logistics and port services business. The Container Terminal business includes major port areas of yangshan, waigaoqiao and wusong. The Bulk Cargo Terminal business offers the loading and unloading of bulk cargo, breakbulk cargo, special cargo, and cruise terminals. The Port Logistics business integrates regionally dispersed logistics industry resources, accelerates the transformation from traditional logistics to modern logistics, and extends the port logistics industry chain. The Port Services business involves in the supporting and guaranteeing the development of the container, bulk cargo and logistics industries. The company was founded on October 21, 1988 and is headquartered in Shanghai, China.",Shanghai International Port,,Transportation,China,5685,1923.9,33083,17423,616,1124,1253,13046,,Jun Yan,Chief Executive Officer,Shanghai,1993,http://www.portshanghai.com.cn
